,No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
0,3,DR001,Akar tonjong. segar,86.7,45,1.1,0.4,10.8,1.2,1.0,72.0,125.0,1.3,96.0,,0.02,0.2,,83.0,90.0,0.02,0.03,1.9,2.0,100.0,Tunggal,Sayur,KZGPI-1990
1,4,DR002,Ale.toge. segar,90.6,37,4.4,0.5,3.8,1.7,0.7,50.0,248.0,2.0,2.0,105.0,0.16,0.4,,,35.0,0.02,0.09,0.6,46.0,90.0,Tunggal,Sayur,KZGPI-1990
2,10,CP016,Ampas tahu. mentah,84.1,67,5.0,2.1,8.1,4.1,0.6,460.0,88.0,1.0,8.0,184.5,0.17,0.5,,,,0.06,0.02,0.1,,100.0,Olahan,Kacang,KZGPI-1990
3,15,DR004,Andewi. segar,91.8,226,1.6,0.2,5.3,4.1,1.1,33.0,66.0,1.0,29.0,414.6,0.13,1.0,,1.717,,0.14,0.09,0.5,10.0,80.0,Tunggal,Sayur,DABM-1964
4,18,DP023,Anyang. sayur,76.9,126,3.4,7.9,10.3,5.4,1.5,180.0,1.0,2.9,290.0,181.0,0.3,1.2,,3.263,,0.2,,,,100.0,Olahan,Sayur,KZGMI-2001
5,20,ER003,Apel malang. segar,85.9,57,0.5,0.4,12.8,0.8,0.3,9.0,18.0,0.6,4.0,175.4,110.16,,,26.0,2.24,0.05,0.03,0.1,5.0,88.0,Tunggal,Buah,KZGPI-1990
6,21,ER004,Apel. segar,84.1,58,0.3,0.4,14.9,2.6,0.3,6.0,10.0,0.3,2.0,130.0,124.2,0.3,,30.0,90.0,0.04,0.03,0.1,5.0,88.0,Tunggal,Buah,DABM-1964
7,24,DP024,Ares. sayur,77.7,113,0.9,7.2,11.2,4.7,3.0,63.0,5.0,1.5,1.413,,0.7,3.8,,6.0,,0.1,,0.5,,100.0,Olahan,Sayur,KZGMI-2001
8,25,BR001,Arrowroot. segar,73.5,102,1.0,0.2,24.1,1.7,1.2,28.0,35.0,1.7,36.0,626.6,0.2,0.8,,15.0,,0.06,0.1,2.3,2.0,100.0,Tunggal,Umbi,KZGPI-1990
9,26,DP025,Arwan sirsir,59.0,277,2.4,25.0,10.7,4.6,2.9,120.0,40.0,2.4,240.0,320.0,0.2,0.9,,1.578,,0.1,0.2,,11.0,100.0,Olahan,Sayur,KZGMI-2001
10,27,NR001,Asam arang coklat. segar,66.1,130,0.5,1.1,30.9,1.5,1.4,79.0,113.0,4.3,13.0,,,,,745.0,,0.01,0.2,,,,Tunggal,Bumbu,KZGPI-1990
11,28,NR002,Asam arang merah. segar,75.9,99,0.8,1.6,20.3,2.8,1.4,69.0,300.0,4.6,2.0,95.7,,0.1,,529.0,,0.01,0.34,1.6,,,Tunggal,Bumbu,KZGPI-1990
12,29,NR003,Asam kandis. kering,32.2,261,0.9,1.6,63.3,5.0,2.0,192.0,657.0,4.4,26.0,341.4,0.4,0.3,,0.2,,,,0.4,,100.0,Tunggal,Bumbu,KZGPI-1990
13,30,NR004,Asam kandis. segar,81.5,75,0.2,1.1,16.1,3.4,1.1,63.0,139.0,2.5,7.0,93.2,0.1,0.1,,41.0,,0.01,,0.1,,,Tunggal,Bumbu,KZGPI-1990
14,31,NR005,Asam masak pohon. segar,31.4,267,2.8,0.6,62.5,1.2,2.7,74.0,113.0,0.6,9.0,139.5,0.09,0.1,,9.0,30.0,0.34,0.04,0.7,2.0,48.0,Tunggal,Bumbu,DABM-1964
15,32,NR006,Asam payak. segar,65.1,135,0.8,0.4,32.1,10.0,1.6,60.0,39.0,5.7,0.2,,,,,,,,,,,,Tunggal,Bumbu,KZGPI-1990
16,33,DP022,Asinan Bogor. sayuran,78.0,98,3.9,2.6,14.8,0.5,0.7,314.0,17.0,1.2,483.0,,,,10.0,,146.0,0.28,,,5.0,100.0,Olahan,Sayur,KZGMS-1993
17,65,DR005,Bakung. segar,92.5,27,2.0,0.2,4.2,3.8,1.1,19.0,20.0,0.5,37.0,340.0,0.2,0.3,,1.08,,0.2,0.1,0.3,42.0,100.0,Tunggal,Sayur,KZGMI-2001
18,67,NP001,Balichong,59.9,152,13.2,0.8,22.9,1.5,3.6,380.0,210.0,2.9,120.0,310.0,0.8,1.1,34.0,,,0.01,0.08,0.2,,,Olahan,Bumbu,KZGMI-2001
19,68,DR006,Baligo. segar,96.1,15,0.4,0.2,3.0,0.4,0.3,19.0,19.0,0.4,2.0,131.1,0.02,0.6,,,,0.04,0.02,0.3,13.0,69.0,Tunggal,Sayur,DABM-1964
20,69,AP032,Bantal,52.3,190,3.3,0.3,43.5,3.4,0.6,9.0,,0.4,164.0,84.0,0.2,0.9,,,,0.27,0.02,3.6,,100.0,Olahan,Serealia,KZGMI-2001
21,73,BR002,Batatas gembili. segar,76.7,76,1.1,0.9,16.0,4.2,0.7,,40.0,0.2,10.0,200.0,0.2,0.3,,,,0.06,,0.9,,85.0,Tunggal,Umbi,KZGMI-2001
22,74,BP001,Batatas kelapa. ubi. bakar,73.2,110,1.4,1.1,23.4,4.5,0.7,1.0,46.0,0.2,12.0,230.0,0.2,0.3,,,,1.13,,,,85.0,Olahan,Umbi,KZGMI-2001
23,75,BP002,Batatas kelapa. ubi. kukus,75.7,92,1.2,0.3,21.0,4.1,1.8,,42.0,0.2,10.0,209.0,0.2,0.3,,,,0.28,,0.7,,100.0,Olahan,Umbi,KZGMI-2001
24,76,BR003,Batatas kelapa. ubi. segar,76.1,89,1.1,0.1,21.0,4.0,0.7,,40.0,0.2,20.0,340.0,0.1,0.2,,,,0.38,,0.9,,85.0,Tunggal,Umbi,KZGMI-2001
25,77,BP003,Batatas tali. ubi. rebus,53.2,182,2.4,0.4,42.2,9.2,1.8,1.0,80.0,0.3,20.0,402.0,0.3,0.6,,,,0.27,,1.3,,100.0,Olahan,Umbi,KZGMI-2001
26,78,DR007,Bawang bombay. segar,87.5,43,1.4,0.2,10.3,2.0,0.6,32.0,44.0,0.5,12.0,9.6,0.1,0.3,,788.0,50.0,0.03,0.21,0.4,9.0,94.0,Tunggal,Sayur,DABM-1964
27,79,NR007,Bawang merah. segar,88.0,46,1.5,0.3,9.2,1.7,1.0,36.0,40.0,0.8,7.0,178.6,0.06,0.2,,2.0,,0.03,0.04,0.2,2.0,90.0,Tunggal,Bumbu,DABM-1964
28,80,NR008,Bawang putih. segar,71.0,112,4.5,0.2,23.1,0.6,1.8,42.0,134.0,1.0,46.0,665.7,0.09,0.4,,,,0.22,0.07,0.3,15.0,88.0,Tunggal,Bumbu,DABM-1964
29,81,DR009,Bayam merah. segar,88.5,41,2.2,0.8,6.3,2.2,2.2,520.0,80.0,7.0,20.0,60.0,0.2,0.8,,7.325,,0.2,0.1,0.1,62.0,71.0,Tunggal,Sayur,KZGMI-2001
30,82,DP001,Bayam. kukus,90.7,30,1.3,0.7,5.8,1.2,1.6,239.0,35.0,5.7,15.0,431.0,0.1,0.3,,2.699,3.75,0.02,0.1,0.9,32.0,100.0,Olahan,Sayur,KZGPI-1990
31,83,DP002,Bayam. rebus,93.5,23,1.2,0.6,3.7,1.1,1.0,150.0,35.0,0.5,16.0,308.4,0.2,0.3,,3.282,2.864,0.02,0.1,0.9,19.0,100.0,Olahan,Sayur,KZGPI-1990
32,84,DR008,Bayam. segar,94.5,16,0.9,0.4,2.9,0.7,1.3,166.0,76.0,3.5,16.0,456.4,0.13,0.4,,2.699,2.293,0.04,0.1,1.0,41.0,71.0,Tunggal,Sayur,KZGPI-1990
33,89,DP026,Beberuk,89.1,65,1.1,5.2,3.5,3.1,1.1,179.0,72.0,8.3,53.0,427.0,0.4,0.2,,44.0,,0.3,,4.4,,100.0,Olahan,Sayur,KZGMI-2001
34,90,FP036,Beef burger,45.5,258,10.6,9.5,32.5,0.4,2.2,210.0,157.0,2.6,572.0,189.1,,,218.0,,7.58,0.95,,,,100.0,Olahan,Daging,KZGMS-1993
35,91,FP037,Beef teriyaki. masakan,65.1,151,8.6,3.1,22.3,0.3,0.9,142.0,62.0,2.3,377.0,,,,22.0,,400.0,0.53,,,,100.0,Olahan,Daging,KZGMS-1993
36,92,FP038,Beef yakiniku. masakan,67.7,132,9.8,1.1,20.7,0.3,0.8,302.0,67.0,2.0,409.0,,,,78.0,,700.0,0.62,,,,100.0,Olahan,Daging,KZGMS-1993
37,93,NP002,Bekasam,65.5,116,11.9,4.9,6.1,3.5,11.6,704.0,757.0,7.5,711.0,176.0,0.8,1.9,,,,,0.03,2.1,,,Olahan,Bumbu,KZGMI-2001
38,94,NP003,Bekasang,67.1,78,11.4,2.0,3.6,0.4,15.9,54.0,97.0,2.6,4.016,121.0,0.2,4.8,,,,0.15,0.12,0.6,,,Olahan,Bumbu,KZGMI-2001
39,97,ER006,Belimbing. segar,90.0,36,0.4,0.4,8.8,3.3,0.4,4.0,12.0,1.1,4.0,130.0,,0.1,,29.0,170.0,0.03,,,35.0,86.0,Tunggal,Buah,DABM-1964
40,98,BP004,Belitung. talas. kukus,63.1,145,1.2,0.4,34.2,1.0,1.1,21.0,48.0,0.9,7.0,552.6,0.2,0.9,,,,0.08,0.1,2.3,1.0,100.0,Olahan,Umbi,KZGPI-1990
41,99,BR004,Belitung. talas. segar,63.1,145,1.2,0.4,34.2,1.5,1.1,26.0,54.0,1.4,6.0,536.1,0.2,0.9,,,,0.1,0.1,2.3,2.0,85.0,Tunggal,Umbi,KZGPI-1990
42,103,BR005,Bengkuang. segar,85.1,59,1.4,0.2,12.8,1.0,0.5,15.0,18.0,0.6,2.0,244.3,0.1,0.3,,,,0.04,0.1,0.2,20.0,84.0,Tunggal,Umbi,DABM-1964
